feature,importance
OILPRICEx,0.11069206173850649
CUSR0000SAS,0.056016443256067125
PCEPI,0.05354653846435403
WPSFD49207,0.046274872296903406
CUSR0000SA0L2,0.044771757322856244
BUSINVx,0.040050280137991376
CPIULFSL,0.03908501278548066
DSERRG3M086SBEA,0.03475308732097958
WPSID61,0.03450358509042726
CUSR0000SA0L5,0.03448216418562912
CUSR0000SAC,0.033978053066162736
REALLN,0.028363354935131344
WPSFD49502,0.026001807407260907
CUSR0000SAD,0.025687204627176663
M2REAL,0.01973632036375215
CPIMEDSL,0.019356798021717237
IPB51222S,0.019176525291493496
DNDGRG3M086SBEA,0.014931218347731494
CONSPI,0.01344288851565275
DDURRG3M086SBEA,0.01265937507763504
HWI,0.012621025789498417
AMDMUOx,0.012223361696525315
USCONS,0.01192361011654856
BUSLOANS,0.011590547470817072
PERMITS,0.011359338076379016
CES1021000001,0.0102577260625151
CPITRNSL,0.010083440801771376
NDMANEMP,0.01007302423693077
RETAILx,0.010051308443013234
USGOVT,0.00984200833262122
